pos_current: [116.38536266293433, 39.90443057077369, 0], speed: 16.69, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38535945441187, 39.904430573815425, 0], speed: 16.71, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.3853562458905, 39.904430578073956, 0], speed: 16.71, wheel_angle: -0.7000000000000028, steering_wheel_angle: -7
pos_current: [116.38535303736914, 39.90443058233249, 0], speed: 16.71, wheel_angle: -0.7000000000000028, steering_wheel_angle: -7
pos_current: [116.3853498307679, 39.904430586585924, 0], speed: 16.70, wheel_angle: -0.7000000000000028, steering_wheel_angle: -7
pos_current: [116.38534662608821, 39.90443059204826, 0], speed: 16.69, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3853434214179, 39.904430602368166, 0], speed: 16.69, wheel_angle: -1.7000000000000028, steering_wheel_angle: -17
pos_current: [116.38534021291429, 39.90443061514882, 0], speed: 16.71, wheel_angle: -2.1000000000000014, steering_wheel_angle: -21
pos_current: [116.38533699673873, 39.90443063043965, 0], speed: 16.75, wheel_angle: -2.5, steering_wheel_angle: -25
pos_current: [116.38533376330108, 39.90443065023078, 0], speed: 16.84, wheel_angle: -3.200000000000003, steering_wheel_angle: -32
pos_current: [116.38533051066932, 39.904430671512166, 0], speed: 16.94, wheel_angle: -3.3999999999999986, steering_wheel_angle: -34
pos_current: [116.38532724459739, 39.9044306929698, 0], speed: 17.01, wheel_angle: -3.3999999999999986, steering_wheel_angle: -34
pos_current: [116.38532397085213, 39.90443071579985, 0], speed: 17.05, wheel_angle: -3.6000000000000014, steering_wheel_angle: -36
pos_current: [116.38532069710686, 39.9044307386299, 0], speed: 17.05, wheel_angle: -3.6000000000000014, steering_wheel_angle: -36
pos_current: [116.38531741568154, 39.90443076156719, 0], speed: 17.09, wheel_angle: -3.6000000000000014, steering_wheel_angle: -36
pos_current: [116.38531412273616, 39.90443078466583, 0], speed: 17.15, wheel_angle: -3.6000000000000014, steering_wheel_angle: -36
