pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
