pos_current: [116.3855575263085, 39.90440963043212, 0], speed: 9.97, wheel_angle: -1.8999999999999986, steering_wheel_angle: -19
pos_current: [116.38555561195051, 39.90440963454826, 0], speed: 9.97, wheel_angle: -1.8999999999999986, steering_wheel_angle: -19
pos_current: [116.3855536956724, 39.90440963867266, 0], speed: 9.98, wheel_angle: -1.8999999999999986, steering_wheel_angle: -19
pos_current: [116.38555177939429, 39.90440964279706, 0], speed: 9.98, wheel_angle: -1.8999999999999986, steering_wheel_angle: -19
pos_current: [116.38554985927595, 39.904409646938014, 0], speed: 10.00, wheel_angle: -1.8999999999999986, steering_wheel_angle: -19
pos_current: [116.38554793915576, 39.90440964977074, 0], speed: 10.00, wheel_angle: -1.2999999999999972, steering_wheel_angle: -13
pos_current: [116.38554601519486, 39.90440965217715, 0], speed: 10.02, wheel_angle: -1.1000000000000014, steering_wheel_angle: -11
pos_current: [116.38554414869026, 39.90440904381992, 0], speed: 10.02, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38554606880602, 39.904409049269994, 0], speed: 10.00, wheel_angle: 2.5, steering_wheel_angle: 25
pos_current: [116.38554802538741, 39.9044090599263, 0], speed: 10.19, wheel_angle: 4.700000000000003, steering_wheel_angle: 47
pos_current: [116.3855499819518, 39.904409074006956, 0], speed: 10.19, wheel_angle: 6.200000000000003, steering_wheel_angle: 62
pos_current: [116.38555209979576, 39.904409090504714, 0], speed: 11.03, wheel_angle: 6.200000000000003, steering_wheel_angle: 62
pos_current: [116.38555421758053, 39.904409114829114, 0], speed: 11.03, wheel_angle: 9.100000000000001, steering_wheel_angle: 91
pos_current: [116.38555633918432, 39.9044091414294, 0], speed: 11.05, wheel_angle: 9.899999999999999, steering_wheel_angle: 99
pos_current: [116.38555860093578, 39.90440917103762, 0], speed: 11.78, wheel_angle: 9.700000000000003, steering_wheel_angle: 97
pos_current: [116.38556086269975, 39.904409199402785, 0], speed: 11.78, wheel_angle: 9.299999999999997, steering_wheel_angle: 93
pos_current: [116.38556319743071, 39.90440922797596, 0], speed: 12.16, wheel_angle: 8.799999999999997, steering_wheel_angle: 88
pos_current: [116.38556553218, 39.90440925457322, 0], speed: 12.16, wheel_angle: 8.200000000000003, steering_wheel_angle: 82
pos_current: [116.38556786504193, 39.90440927719873, 0], speed: 12.15, wheel_angle: 7.0, steering_wheel_angle: 70
pos_current: [116.38557017490777, 39.904409292685884, 0], speed: 12.03, wheel_angle: 4.899999999999999, steering_wheel_angle: 49
pos_current: [116.38557248479592, 39.90440930310214, 0], speed: 12.03, wheel_angle: 3.299999999999997, steering_wheel_angle: 33
pos_current: [116.38557478317693, 39.90440930841039, 0], speed: 11.97, wheel_angle: 1.7000000000000028, steering_wheel_angle: 17
pos_current: [116.38557269284748, 39.904408062753895, 0], speed: 11.97, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38557075968565, 39.904406910755796, 0], speed: 11.07, wheel_angle: 0.0, steering_wheel_angle: 0
